row_id	museum_id	type	url	clean_url
4031	mm.musa.243	twitter	https://twitter.com/n_t_s	https://twitter.com/n_t_s
4032	mm.musa.243	facebook	https://www.facebook.com/nationaltrustforscotland	https://www.facebook.com/nationaltrustforscotland
4033	mm.domus.WA026	facebook	https://www.facebook.com/officialcardiffcastle/	https://www.facebook.com/officialcardiffcastle
4034	mm.domus.WA026	twitter	https://twitter.com/cardiff_castle	https://twitter.com/cardiff_castle
4035	domus.NE043	twitter	https://twitter.com/woodhorn	https://twitter.com/woodhorn
4036	domus.NE043	facebook	https://en-gb.facebook.com/morpethchantrybagpipemuseum/	https://en-gb.facebook.com/morpethchantrybagpipemuseum
4038	mm.misc.196	facebook	no_resource	no_resource
4039	mm.misc.196	twitter	no_resource	no_resource
4040	mm.domus.SW188	twitter	http://twitter.com/@beaminstermuseu	http://twitter.com/beaminstermuseu
4041	mm.domus.SW188	facebook	https://www.facebook.com/beaminster-museum-1497748007153032/	https://www.facebook.com/beaminster-museum-1497748007153032
4042	mm.domus.NE012	facebook	https://www.facebook.com/dormanmuseum/	https://www.facebook.com/dormanmuseum
4045	mm.domus.NE012	twitter	no_resource	no_resource
4046	mm.domus.SW096	facebook	https://www.facebook.com/bathatwork/photos/a.125761777477765/2118773498176573/?type=3	https://www.facebook.com/bathatwork/photos/a.125761777477765/2118773498176573
4047	mm.domus.SW096	twitter	no_resource	no_resource
4048	mm.domus.WM080	facebook	https://www.facebook.com/nbbcouncil	https://www.facebook.com/nbbcouncil
4049	mm.domus.WM080	twitter	https://twitter.com/nbbcouncil	https://twitter.com/nbbcouncil
4050	mm.domus.SC200	facebook	https://www.facebook.com/ullapoolmuseum/?epa=search_box	https://www.facebook.com/ullapoolmuseum
4051	mm.domus.SC200	twitter	https://twitter.com/ullapoolmuseum	https://twitter.com/ullapoolmuseum
4054	mm.musa.035	facebook	https://www.facebook.com/battlesbridge	https://www.facebook.com/battlesbridge
4055	mm.musa.035	twitter	https://twitter.com/battlesbridgesx	https://twitter.com/battlesbridgesx
4056	mm.musa.035	twitter	https://twitter.com/battlesbridge	https://twitter.com/battlesbridge
4060	mm.domus.SC096	twitter	https://www.twitter.com/ealeisure	https://www.twitter.com/ealeisure
4061	mm.domus.SC096	facebook	https://www.facebook.com/eayrshireleisure/	https://www.facebook.com/eayrshireleisure
4062	mm.domus.SW138	twitter	https://twitter.com/torquaymuseum	https://twitter.com/torquaymuseum
4063	mm.domus.SW138	twitter	http://twitter.com/torquaymuseum	http://twitter.com/torquaymuseum
4064	mm.domus.SW138	facebook	https://www.facebook.com/pages/torquay-museum/152580441430585	https://www.facebook.com/pages/torquay-museum/152580441430585
4065	mm.domus.EM017	twitter	https://twitter.com/visitnotts?lang=en-gb	https://twitter.com/visitnotts
4067	mm.domus.EM017	facebook	https://www.facebook.com/visitnotts	https://www.facebook.com/visitnotts
4073	mm.fcm.155	facebook	https://www.facebook.com/themadmuseum	https://www.facebook.com/themadmuseum
4074	mm.fcm.155	twitter	https://www.twitter.com/themadmuseum	https://www.twitter.com/themadmuseum
4078	mm.fcm.155	twitter	https://twitter.com/themadmuseum	https://twitter.com/themadmuseum
4081	mm.domus.SE305	facebook	https://en-gb.facebook.com/colchestercastle	https://en-gb.facebook.com/colchestercastle
4082	mm.domus.SE305	twitter	https://twitter.com/colmuseums	https://twitter.com/colmuseums
4083	mm.domus.SE305	facebook	https://www.facebook.com/ipswichmuseums	https://www.facebook.com/ipswichmuseums
4084	mm.domus.SE305	twitter	https://twitter.com/ipswichmuseums	https://twitter.com/ipswichmuseums
4085	mm.domus.SW141	facebook	https://www.facebook.com/totnesmuseum/	https://www.facebook.com/totnesmuseum
4086	mm.domus.SW141	twitter	https://twitter.com/totnesmuseum?lang=en-gb	https://twitter.com/totnesmuseum
4087	mm.wiki.193	twitter	https://twitter.com/#/	https://twitter.com/#
4088	mm.wiki.193	facebook	no_resource	no_resource
4089	mm.wiki.177	facebook	https://www.facebook.com/thelasttuesdaysociety	https://www.facebook.com/thelasttuesdaysociety
4090	mm.wiki.177	twitter	https://twitter.com/thelasttuesdays	https://twitter.com/thelasttuesdays
4093	mm.domus.SW125	facebook	no_resource	no_resource
4094	mm.domus.SW125	twitter	no_resource	no_resource
4095	mm.domus.SW084	facebook	https://www.facebook.com/penleehousegallerymuseum	https://www.facebook.com/penleehousegallerymuseum
4096	mm.domus.SW084	twitter	https://twitter.com/penleehouse	https://twitter.com/penleehouse
4099	mm.domus.EM016	facebook	https://www.facebook.com/nottinghamcastle	https://www.facebook.com/nottinghamcastle
4100	mm.domus.EM016	twitter	https://twitter.com/nottmcastle	https://twitter.com/nottmcastle
4101	mm.aim.0389	facebook	no_resource	no_resource
4102	mm.aim.0389	twitter	no_resource	no_resource
4103	mm.domus.SE573	facebook	https://www.facebook.com/nationalarmymuseum/	https://www.facebook.com/nationalarmymuseum
4104	mm.domus.SE573	twitter	https://twitter.com/nam_london	https://twitter.com/nam_london
4105	mm.ace.1233	twitter	https://twitter.com/englishheritage	https://twitter.com/englishheritage
4106	mm.ace.1233	facebook	https://www.facebook.com/englishheritage	https://www.facebook.com/englishheritage
4113	mm.aim.0167	twitter	http://twitter.com/northyorkmoors	http://twitter.com/northyorkmoors
4114	mm.aim.0167	facebook	http://www.facebook.com/northyorkmoorsnationalpark	http://www.facebook.com/northyorkmoorsnationalpark
4115	mm.aim.0167	twitter	https://twitter.com/northyorkmoors	https://twitter.com/northyorkmoors
4116	mm.aim.0167	facebook	https://www.facebook.com/northyorkmoorsnationalpark	https://www.facebook.com/northyorkmoorsnationalpark
4117	mm.mgs.345	facebook	https://www.facebook.com/eca.edinburgh	https://www.facebook.com/eca.edinburgh
4118	mm.mgs.345	twitter	https://twitter.com/eca_edinburgh	https://twitter.com/eca_edinburgh
4119	mm.domus.SE420	facebook	https://en-gb.facebook.com/chiddingstonecastle	https://en-gb.facebook.com/chiddingstonecastle
4120	mm.domus.SE420	twitter	https://twitter.com/chidd_castle?lang=en	https://twitter.com/chidd_castle
4121	mm.domus.SE420	facebook	https://www.facebook.com/pg/chiddingstonecastle/reviews/?ref=page_internal	https://www.facebook.com/pg/chiddingstonecastle/reviews
4122	mm.domus.NE061	facebook	no_resource	no_resource
4123	mm.domus.NE061	twitter	no_resource	no_resource
4124	mm.domus.SC315	facebook	https://www.facebook.com/culturenl	https://www.facebook.com/culturenl
