museum_id	twitter_id	facebook_pages	twitter_action	facebook_action	correct_twitter	correct_facebook	twitter_id_old	facebook_pages_old
mm.ace.1133	twitter.com/sharpesmuseum	['www.facebook.com/sharpespotterymuseumpage', 'en-gb.facebook.com/SharpesPotteryMuseumPage']	keep	keep				
mm.hha.004	twitter.com/shaw_house	en-gb.facebook.com/Shaw-House-107713834438	keep	keep				
mm.domus.SE519	twitter.com/shawscornernt	['www.facebook.com/shawscorner']	keep	keep				
mm.ace.1162	twitter.com/museumsheffield	en-gb.facebook.com/Museums.Sheffield/photos/calling-all-creatives-makers-artisans-we-are-looking-for-uk-based-craftspeople-a/10160693024715492	keep	keep				
mm.domus.YH024	['twitter.com/shepherdwheelpv', 'twitter.com/ShepherdWheelPV']	['www.facebook.com/shepherdwheelworkshop', 'en-gb.facebook.com/pages/category/Civilization-Museum/ShepherdWheelWorkshop/posts']	keep	keep				
mm.musa.306	['twitter.com/sheppyscider']	['www.facebook.com/sheppys-cider-ltd-158262360917934', 'en-gb.facebook.com/sheppysHOC']	keep	keep				
mm.hha.048	['twitter.com/castleenquiries', 'twitter.com/sherbornecastle']	['www.facebook.com/sherbornecastle', 'en-gb.facebook.com/SherborneCastleCountryFair']	keep	keep				
mm.domus.SW125	twitter.com/sherbornemuseum	en-gb.facebook.com/sherbornemuseum	keep	keep				
mm.misc.097	no_resource	en-gb.facebook.com/SherborneSteam	keep	keep				
mm.aim.0877	twitter.com/shereuk	en-gb.facebook.com/sherehillclimb	keep	keep				
mm.musa.307	no_resource	['www.facebook.com/the-sherlock-holmes-museum-5701497375', 'en-gb.facebook.com/pages/category/Museum/The-Sherlock-Holmes-Museum-5701497375']	keep	keep				
mm.domus.EM057	['twitter.com/nam_london', 'twitter.com/museumercianwfr']	['www.facebook.com/nationalarmymuseum']	keep	keep				
mm.domus.SC040	['twitter.com/shetlandmanda', 'twitter.com/shetlandamenity']	['www.facebook.com/shetlandmuseumandarchives', 'en-gb.facebook.com/shetlandmuseumandarchives/about']	keep	keep				
