muse_id	musname	town	url	url_source	Unnamed: 5
mm.domus.SE460	Emsworth Museum	Emsworth	http://emsworthmuseum.org.uk/	pred	
mm.domus.SE372	Tenterden And District Museum	Tenterden	http://www.tenterdenmuseum.co.uk/	pred	
mm.domus.SE240	Cowper & Newton Museum	Olney	https://cowperandnewtonmuseum.org.uk/	pred	
mm.domus.SE425	Marlipins Museum	Shoreham-by-Sea	https://sussexpast.co.uk/properties-to-discover/marlipins-museum	manual	
mm.aim.0513	King Johns House	Romsey	https://kingjohnshouse.org.uk/	manual	
mm.wiki.359	Send And Ripley Local History Museum	Woking	https://sendandripleyhistorysociety.co.uk/museum/	manual	
mm.domus.SE098	Royal Army Physical Training Corps Museum	Aldershot	https://www.raptcmuseum.co.uk/	pred	
mm.musa.257	New Hall	Romney Marsh	https://www.newhallschool.co.uk/	pred	
mm.aim.1326	Winchester College Treasury	Winchester	https://treasury.winchestercollege.org/	pred	
mm.domus.SE258	Dorking Museum and Heritage Centre	Dorking	https://dorkingmuseum.org.uk/	pred	
mm.domus.SE483	Kent Police Museum	Maidstone	https://www.kent.police.uk/police-forces/kent-police/areas/kent-police/about-us/about-us/kent-police-museum/	manual	
mm.domus.SE323	Leatherhead Museum Of Local History	Leatherhead	https://www.leatherheadhistory.org/museum	pred	
mm.aim.0724	Otford Heritage Centre	Sevenoaks	http://otford.co.uk/historicalsociety/otford-heritage-centre/	pred	
mm.aim.0677	National Badminton Museum	Milton Keynes	https://www.nationalbadmintonmuseum.com/	manual	
mm.musa.210	Lydd Town Museum	Romney Marsh	https://theromneymarsh.net/lyddtownmuseum	pred	
mm.domus.SE534	Owletts	Gravesend	https://www.nationaltrust.org.uk/owletts	pred	
mm.musa.153	Guildford Cathedral Treasury	Guildford	https://www.guildford-cathedral.org/visit/treasury	pred	
mm.wiki.219	Bredgar and Wormshill Light Railway	Sittingbourne	https://www.visitmaidstone.com/things-to-do/bredgar-and-wormshill-light-railway-p7731	pred	
mm.aim.0882	Shoreham Aircraft Museum	Sevenoaks	http://www.shoreham-aircraft-museum.co.uk/	pred	
mm.aim.1005	The Budding Foundation Museum Of Gardening	Hassocks	https://www.southdownsheritagecentre.co.uk/museum	pred	
mm.aim.0581	"Mansion Library, Salomons"	Tunbridge Wells	https://www.canterbury.ac.uk/library/campus-libraries/salomons/salomons.aspx	pred	
mm.aim.0222	Combe Mill	Long Hanborough	https://www.combemill.co.uk/	pred	
mm.aim.1131	The Museum Of The National Rifle Association	Woking	http://www.nramuseum.org/	pred	
