museum_id	twitter_id	facebook_pages	new_twitter	new_fb	comment_fb
mm.domus.YH033	twitter.com/baysgarthhouse	['www.facebook.com/baysgarthhousemuseum', 'en-gb.facebook.com/events/baysgarth-house/car-boot-sale/133693830500082']			
mm.domus.SW188	twitter.com/beaminstermuseu	['www.facebook.com/beaminster-museum-1497748007153032', 'en-gb.facebook.com/pages/category/Travel-Company/Beaminster-Museum-1497748007153032']			
mm.domus.NE004	twitter.com/beamish_museum	['www.facebook.com/beamishlivingmuseum', 'en-gb.facebook.com/BeamishLivingMuseum']			
mm.domus.SE214	no_resource	no_resource			
mm.domus.NW172	['twitter.com/ntsouthlakes']	['www.facebook.com/beatrixpotternt']			
mm.musa.037	['twitter.com/beaulieu_hants']	['www.facebook.com/nationalmotormuseum']			
mm.domus.WA007	no_resource	no_resource			
mm.domus.SE418	no_resource	no_resource			
mm.domus.YH034	['twitter.com/beckisle']	['www.facebook.com/pickeringbeckisle', 'en-gb.facebook.com/Beck-Isle-Museum-1530397937181568/?fref=mentions&rf=228128794043931']			
mm.domus.SW004	twitter.com/beckfordstower	['www.facebook.com/beckfordstower', 'en-gb.facebook.com/pages/category/Landmark---Historical-Place/beckfordstower/posts']			
mm.domus.YH032	twitter.com/bedalemuseum	en-gb.facebook.com/pages/category/Museum/Bedale-Museum-610186915658966			
mm.domus.SE339	no_resource	no_resource			
mm.aim.0993	no_resource	no_resource			
mm.aim.0074	no_resource	no_resource			
mm.domus.SE196	twitter.com/beecroftgallery	no_resource			
mm.ace.1109	twitter.com/beestoncastle	['www.facebook.com/beestoncastle', 'en-gb.facebook.com/beestoncastle']			
mm.New.41	no_resource	no_resource			
mm.New.138	twitter.com/bdhhm	en-gb.facebook.com/hiddenhistorytravel			
mm.domus.EM069	no_resource	no_resource			
mm.musa.039	no_resource	no_resource			
mm.wiki.419	no_resource	['www.facebook.com/belleekpottery']			
mm.hha.011	twitter.com/belmonthsegdns	['www.facebook.com/ancorathemes', 'www.facebook.com/belmonthsegdns', 'en-gb.facebook.com/BelmontHseGdns']			
mm.wiki.064	no_resource	no_resource			
mm.musa.041	['twitter.com/belsay_hall']	['www.facebook.com/pages/belsay-united-kingdom/belsay-hall-castle-gardens/290705618870']			
mm.domus.EM088	twitter.com/beltonhousent	['www.facebook.com/beltonhousent', 'en-gb.facebook.com/BeltonWoods']			
mm.hha.089	twitter.com/belvoircastle	['www.facebook.com/belvoircastle', 'en-gb.facebook.com/BelvoirCastle/?fref=mentions&rf=108010639221921']			
mm.aim.0077	twitter.com/bembridgepc	en-gb.facebook.com/BembridgeHeritage/posts			
mm.hud.014	['twitter.com/bembridgemillnt']	no_resource			
mm.domus.SE005	twitter.com/benurigallery	['www.facebook.com/benurigallery', 'en-gb.facebook.com/BenUriGallery']			
mm.misc.237	twitter.com/priorybenburb	en-gb.facebook.com/BenburbPriory/posts/a-fantastic-development-for-the-benburb-priory-library-and-museum-heritage-lotte/1411577202196258			
mm.domus.YH156	twitter.com/ntbeningbrough	['www.facebook.com/ntbeningbrough', 'en-gb.facebook.com/NTBeningbrough']			
mm.aim.0079	['www.twitter.com/bfhouse', 'twitter.com/bfhouse']	['www.facebook.com/pages/benjamin-franklin-house/12417078190', 'en-gb.facebook.com/BenFranklinHouse']			
mm.domus.SC072	twitter.com/benniemuseum	en-gb.facebook.com/Benniemuseum			
mm.domus.WM139	no_resource	['www.facebook.com/benthallnt', 'en-gb.facebook.com/benthallNT/posts']			
mm.aim.0081	twitter.com/bentley_priory	['www.facebook.com/bentleypriorymuseum', 'www.facebook.com/bentleypriorymuseum', 'en-gb.facebook.com/BentleyPrioryMuseum']			
mm.ace.1217	twitter.com/bentwaters_cwm	['www.facebook.com/people/bentwaters-cold-war-museum/100057037317091', 'en-gb.facebook.com/Bentwaters-Cold-War-Museum-159480594091625/posts']			
mm.wiki.141	twitter.com/berkeleycastle	['www.facebook.com/berkeleycastleestate', 'en-gb.facebook.com/BerkeleyCastleEstate']			
mm.musa.042	['twitter.com/berkspgl']	['www.facebook.com/berkshirefreemasons']			
mm.ace.1116	twitter.com/berksmedmuseum	['www.facebook.com/berkshire-medical-heritage-centre-717042425106819', 'en-gb.facebook.com/pages/category/Nonprofit-Organization/Berkshire-Medical-Heritage-Centre-717042425106819']			
mm.domus.SE194	no_resource	no_resource			
mm.New.62	no_resource	['www.facebook.com/bernera-historical-society-482812091870994', 'en-gb.facebook.com/Bernera-Historical-Society-482812091870994/posts']			
mm.ace.1089	twitter.com/ntberrington	['www.facebook.com/ntberrington', 'en-gb.facebook.com/NTBerrington']			
mm.New.153	twitter.com/Berwick_Museum/status/1189892714004992003	no_resource			
mm.domus.NE006	twitter.com/berwick_museum	['www.facebook.com/berwick-museum-and-art-gallery-180316198816348', 'en-gb.facebook.com/pages/category/History-Museum/Berwick-Museum-and-Art-Gallery-180316198816348/posts']			
mm.domus.SE006	twitter.com/bethlemmuseum	['www.facebook.com/bethlemmuseumofthemind', 'en-gb.facebook.com/bethlemmuseumofthemind']			
mm.domus.YH168	twitter.com/bevartgallery	en-gb.facebook.com/galleryatsalt			
mm.ace.1118	no_resource	no_resource			
mm.New.125	no_resource	no_resource			
mm.domus.WM039	twitter.com/bewdleymuseum	['www.facebook.com/bewdleymuseum', 'en-gb.facebook.com/BewdleyMuseum']			
mm.domus.SE192	twitter.com/bexhillmuseum	['www.facebook.com/bexhillmuseum', 'en-gb.facebook.com/BexhillMuseum']			
mm.domus.SE191	['www.twitter.com/hallplacebexley', 'twitter.com/rafmuseum/status/1025675258358059010']	['www.facebook.com/hallplace', 'en-gb.facebook.com/BexleyArchives']			
mm.musa.045	no_resource	no_resource			
mm.wiki.076	no_resource	['www.facebook.com/bidefordrailway.co.uk', 'www.facebook.com/groups/bidefordrailway.co.uk', 'www.facebook.com/bideford-tea-on-the-train-203849396924581']			
mm.domus.WA016	twitter.com/bigpitmuseum	en-gb.facebook.com/bigpitmuseum/posts/one-week-left-until-the-closing-date-1st-augwere-recruiting-for-two-new-mining-c/10157626988169148			
mm.mgs.223	twitter.com/biggarmuseum	no_resource			
mm.musa.046	no_resource	en-gb.facebook.com/BiggarMuseumTrust/posts			
mm.New.120	twitter.com/bigginhillmmt	['www.facebook.com/bigginhillmmt', 'en-gb.facebook.com/BigginHillMMT']			
mm.musa.047	twitter.com/bignorvilla	['www.facebook.com/theofficialbignorromanvilla', 'en-gb.facebook.com/theofficialbignorromanvilla']			
mm.ace.1297	twitter.com/bilsheritage	['/engine/referrer.asp', 'www.facebook.com/bilsthorpe-heritage-museum-995974823754708', 'en-gb.facebook.com/pages/category/History-Museum/Bilsthorpe-Heritage-Museum-995974823754708/about']			
mm.domus.WM014	twitter.com/bilstoncraftgal	['www.facebook.com/bilstoncraftgallery', 'en-gb.facebook.com/BilstonCraftGallery']			
mm.musa.048	no_resource	en-gb.facebook.com/birdoswaldromanfort			
mm.domus.NW059	no_resource	en-gb.facebook.com/birkenheadpriory			
mm.ace.1208	twitter.com/backtobacksnt	['en-gb.facebook.com/backtobacksnt', 'en-gb.facebook.com/BacktoBacksNT']			
mm.wiki.368	no_resource	en-gb.facebook.com/GunQuarter/posts			
mm.domus.WM063	['twitter.com/bm_ag', 'twitter.com/bm_ag?lang=en-gb']	['www.facebook.com/birminghammuseumandartgallery', 'en-gb.facebook.com/BirminghamMuseumandArtGallery']			
mm.domus.WM113	no_resource	['www.facebook.com/sandwellmusemns#!/sandwellmuseums']			
mm.domus.SE152	twitter.com/bonnersmuseum	['www.facebook.com/derehamhistory']			
mm.domus.YH022	twitter.com/bishopshouse	['facebook.com/bishopshouse', 'www.facebook.com/bishopshouse', 'en-gb.facebook.com/bishopshouse']			
mm.wiki.324	no_resource	no_resource			
mm.ace.504	twitter.com/stortfordmuseum	en-gb.facebook.com/themuseumStortford			
mm.domus.SE087	twitter.com/bishopswmuseum	['www.facebook.com/bishops-waltham-museum-100447834642331']			
mm.aim.0098	no_resource	['www.facebook.com/thebishopsteigntonstory', 'en-gb.facebook.com/thebishopsteigntonstory/posts/?ref=page_internal']			
mm.musa.050	no_resource	no_resource			
mm.domus.WM110	twitter.com/bwhite_museum	en-gb.facebook.com/herefordmuseums/posts			
mm.domus.WM042	twitter.com/bclivingmuseum	en-gb.facebook.com/bclivingmuseum?rf=231647546893632&filter=2			
mm.domus.SC038	twitter.com/museumbw	['www.facebook.com/bwmuseum', 'en-gb.facebook.com/BWMuseum/about/?entry_point=page_nav_about_item&ref=page_internal']			
mm.domus.NW121	twitter.com/blackburnmuseum	['facebook.com/blackburnmuseum', 'en-gb.facebook.com/pages/category/Art-Gallery/blackburnmuseum/posts']			
mm.domus.SC309	no_resource	en-gb.facebook.com/yourcommunityarmadaleblackridge/posts			
mm.aim.0099	no_resource	no_resource			
mm.ace.1128	no_resource	['www.facebook.com/blackwellartsandcrafts', 'en-gb.facebook.com/blackwellartsandcrafts']			
mm.mald.014	['twitter.com/visitblaenavon', 'twitter.com/blaenavonmuseum/status/538327961217560577']	['www.facebook.com/visitblaenavon', 'en-gb.facebook.com/blaenavonmuseum']			
mm.wiki.452	no_resource	no_resource			
mm.wiki.325	['twitter.com/hampton221']	['www.facebook.com/vipa.ukin']			
mm.mald.015	no_resource	no_resource			
mm.hha.169	['twitter.com/blair_castle']	['www.facebook.com/blaircastle', 'en-gb.facebook.com/blaircastle']			
mm.domus.SC034	twitter.com/blairsmuseum	en-gb.facebook.com/BlairsMuseum			
mm.domus.SW012	twitter.com/blaisemuseum	['www.facebook.com/blaisecastlehousemuseum', 'en-gb.facebook.com/blaisecastlehousemuseum']			
mm.domus.SW001	twitter.com/BlakeMuseum	['www.facebook.com/blakemuseum']			
mm.domus.WM066	twitter.com/blakesley_hall	['www.facebook.com/pages/blakesley-hall-museum/235366899912438', 'en-gb.facebook.com/BlakesleyHall']			
mm.ace.1112	twitter.com/tbfashionmuseum	en-gb.facebook.com/pages/category/History-Museum/theblandfordfashionmuseum/posts			
mm.domus.SW045	['twitter.com/blandfordmuseum']	['www.facebook.com/blandfordtowmmuseum', 'www.facebook.com/pages/category/arts---crafts-store/knitwits-845905445518424', 'en-gb.facebook.com/blandfordevents']			
mm.hha.017	twitter.com/blenheimpalace	['www.facebook.com/blenheimpalace', 'en-gb.facebook.com/BlenheimPalace/posts']			
mm.musa.052	['twitter.com/blessingbourne']	['www.facebook.com/blessingbourne']			
mm.ace.1278	twitter.com/bletchleypark	['www.facebook.com/bletchleypark1', 'en-gb.facebook.com/Bletchleypark1']			
mm.domus.SE538	twitter.com/blicklingnt	en-gb.facebook.com/BlicklingEstateNT			
mm.domus.WM126	twitter.com/blistshill	no_resource			
