google_rank	url	domain	search	search_type	ts	muse_id	Museum_Name	Valid	location	year_closed
2	https://discoverymuseum.org.uk/whats-on	discoverymuseum.org.uk	Discovery Museum	website	01/02/2021 14:24	mm.domus.NE028	Discovery Museum	TRUE	Newcastle upon Tyne	9999:9999
3	https://discoverymuseum.org.uk/visit-us	discoverymuseum.org.uk	Discovery Museum	website	01/02/2021 14:24	mm.domus.NE028	Discovery Museum	TRUE	Newcastle upon Tyne	9999:9999
1	https://www.nationaltrust.org.uk/finch-foundry	www.nationaltrust.org.uk	Finch Foundry	website	01/02/2021 15:06	mm.domus.SW047	Finch Foundry	TRUE	nr Okehampton	9999:9999
2	https://www.nationaltrust.org.uk/place-pages/130/pages/opening-times-calendar	www.nationaltrust.org.uk	Finch Foundry	website	01/02/2021 15:06	mm.domus.SW047	Finch Foundry	TRUE	nr Okehampton	9999:9999
3	https://www.visitdartmoor.co.uk/attraction/finch-foundry	www.visitdartmoor.co.uk	Finch Foundry	website	01/02/2021 15:06	mm.domus.SW047	Finch Foundry	FALSE	nr Okehampton	9999:9999
1	https://www.ford-and-etal.co.uk/heatherslaw-mill/	www.ford-and-etal.co.uk	Heatherslaw Corn Mill	website	01/02/2021 15:56	mm.domus.NE040	Heatherslaw Corn Mill	TRUE	Cornhill-on-Tweed	9999:9999
2	https://www.ford-and-etal.co.uk/history-heritage/heatherslaw-cornmill/	www.ford-and-etal.co.uk	Heatherslaw Corn Mill	website	01/02/2021 15:56	mm.domus.NE040	Heatherslaw Corn Mill	FALSE	Cornhill-on-Tweed	9999:9999
3	https://www.britainexpress.com/counties/northumbria/properties/heatherslaw-mill.htm	www.britainexpress.com	Heatherslaw Corn Mill	website	01/02/2021 15:56	mm.domus.NE040	Heatherslaw Corn Mill	FALSE	Cornhill-on-Tweed	9999:9999
1	https://kiplinhall.co.uk/	kiplinhall.co.uk	Kiplin Hall	website	01/02/2021 16:46	mm.ace.1147	Kiplin Hall	TRUE	Richmond	9999:9999
2	https://kiplinhall.co.uk/visit-kiplin/	kiplinhall.co.uk	Kiplin Hall	website	01/02/2021 16:46	mm.ace.1147	Kiplin Hall	TRUE	Richmond	9999:9999
3	https://kiplinhall.co.uk/events/	kiplinhall.co.uk	Kiplin Hall	website	01/02/2021 16:46	mm.ace.1147	Kiplin Hall	TRUE	Richmond	9999:9999
1	http://www.sallymitchell.com/museum	www.sallymitchell.com	"Museum Of The Horse, Tuxford"	website	01/02/2021 18:18	mm.aim.0664	"Museum Of The Horse, Tuxford"	TRUE	Newark	9999:9999
2	https://www.list.co.uk/place/92368-museum-of-the-horse-tuxford/	www.list.co.uk	"Museum Of The Horse, Tuxford"	website	01/02/2021 18:18	mm.aim.0664	"Museum Of The Horse, Tuxford"	FALSE	Newark	9999:9999
