mm_id	mm_name	website	facebook	twitter	instagram	funding_website	attr_ace_erf	attr_mgs_rrf	attr_wcrf	attr_fundraising	attr_redundancies	attr_grant	attr_closure
mm.domus.SW031	The Holburne Museum	https://www.holburne.org/coronavirus/	https://www.facebook.com/holburne/	https://twitter.com/Holburne		https://www.crowdfunder.co.uk/help-the-holburne	1						
mm.domus.SW096	Museum Of Bath At Work	http://www.bath-at-work.org.uk/	https://www.facebook.com/BathAtWork/	https://twitter.com/BathAtWork			1						
mm.domus.SW106	"Dr Jenners House, Museum and Garden"	https://jennermuseum.com/news/coronavirus	https://www.facebook.com/DrJennersHouse/	https://twitter.com/DrJennersHouse		https://www.crowdfunder.co.uk/drjennershouse							
mm.domus.SW127	SS Great Britain	https://www.ssgreatbritain.org/support-us/donate	https://www.facebook.com/SSGreatBritain/	https://twitter.com/SSGreatBritain									
mm.domus.SW181	Tetbury Police Museum & Courtroom	https://tetbury.gov.uk/tourism/tetbury-police-museum-courtroom-2/	https://www.facebook.com/Tetbury-Police-Museum-and-Courtroom-247080042092039	https://twitter.com/museumtetbury	https://www.instagram.com/policemuseumtetbury/	https://www.crowdfunder.co.uk/reopen-the-tetbury-police-museum				1			
mm.domus.WA048	Llyn Maritime Museum	https://www.llyn-maritime-museum.co.uk/eng/index.html	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FAmgueddfa-Forwrol-Ll%25C5%25B7n-Maritime-Museum-326056434130081%2F	https://twitter.com/AmgLlynMus									
mm.domus.WM039	Bewdley Museum	https://www.bewdleymuseum.co.uk/	https://www.facebook.com/BewdleyMuseum/				1						
mm.domus.WM042	Black Country Living Museum	https://www.bclm.co.uk/news/can-you-help-bclm/1149.htm#.XoIGxm57nOR	https://www.facebook.com/bclivingmuseum/	https://twitter.com/BCLivingMuseum									
mm.domus.WM121	Cambrian Heritage Railways Museum	http://www.cambrianrailways.com/html/covid-19.html											
mm.domus.YH021	Kelham Island Museum	http://www.simt.co.uk/	https://www.facebook.com/kelhamislandmuseum	https://twitter.com/KelhamIsland			1						
mm.domus.YH031	Yorkshire Museum Of Farming	http://www.murtonpark.co.uk/					1						
mm.domus.YH081	Ryedale Folk Museum	https://www.ryedalefolkmuseum.co.uk/	https://www.facebook.com/RyedaleFolkMuseum	https://twitter.com/ryedalefolk	https://www.instagram.com/ryedale_folk_museum/		1						
mm.fcm.058	Newman Brothers at the Coffin Works	http://www.coffinworks.org/	https://www.facebook.com/thecoffinworks	https://twitter.com/coffinworks	https://www.instagram.com/coffin_works		1						
mm.fcm.062	Commando Museum	http://forum.commandoveterans.org/cdoForum/posts/list/7228.page											1
mm.MDN.005	Ashworth Barracks Museum	https://www.tripadvisor.co.uk/Attraction_Review-g187067-d7278054-Reviews-Ashworth_Barracks_Museum-Doncaster_South_Yorkshire_England.html											1
mm.misc.007	The National Museum of Computing	https://www.tnmoc.org/	https://www.facebook.com/TNMOC/	https://twitter.com/tnmoc									
mm.misc.256	Shire Hall Historic Courthouse Museum	http://shirehalldorset.org/	https://www.facebook.com/DorsetShireHall/	https://twitter.com/shirehalldorset		https://www.crowdfunder.co.uk/supportshirehall				1			
mm.musa.276	Oriel Davies Gallery	https://orieldavies.org/	http://www.facebook.com/orieldavies	http://twitter.com/orieldavies	https://www.instagram.com/orieldavies				1				
mm.New.102	Isokon Gallery	http://www.isokongallery.co.uk/	https://www.facebook.com/IsokonGallery/	https://twitter.com/IsokonGallery		https://www.justgiving.com/isokongallerytrust							
mm.New.165	Pembrokeshire Candle Centre Museum	http://www.pembrokeshirecandles.co.uk/											1
mm.New.166	North Hertfordshire Museum	https://northhertsmuseum.org/	https://www.facebook.com/northhertsmuseum	https://twitter.com/nhertsmuseum	https://www.instagram.com/northhertsmuseum/		1						
mm.New.20	Vagina Museum	https://www.vaginamuseum.co.uk/	https://m.facebook.com/vmuseum/?ref=page_internal&mt_nav=0	https://twitter.com/vagina_museum									
mm.New.32	Metropolitan Police Service Heritage Centre	https://twitter.com/MPSHeritage/status/1324311044169359361											1
mm.New.39	We'll Meet Again Homefront Museum	http://wmamuseum.co.uk/	https://www.facebook.com/wmamuseum/			https://www.crowdfunder.co.uk/the-well-meet-again-museum				1			
mm.New.54	National Videogame Museum	https://thenvm.org/about/	https://www.facebook.com/thenvmuk/	https://twitter.com/nvmuk									
mm.wiki.101	Fort Paull Museum	https://www.hulldailymail.co.uk/news/hull-east-yorkshire-news/fort-paull-closed-reason-museum-3763173											1
mm.wiki.243	Bruntingthorpe Aircraft Museum	https://www.bruntingthorpe.com/aviation											1
